0,47,36,0
1,19,8,0.36
2,11,0,0.44
3,12,1,0.44
4,204,193,0.45
5,10,-1,2.38
6,31,20,2.37
7,25,14,2.57
8,38,27,2.71
9,35,24,2.98
10,24,13,3.22
11,26,15,3.35
12,82,71,3.5
13,9,-2,4.21
14,25,14,4.19
15,149,138,4.33
16,37,26,5.71
17,28,17,5.97
18,52,41,6.14
19,91,80,6.55
20,26,15,7.35
21,85,74,7.5
22,34,23,8.24
23,47,36,8.47
24,38,27,8.83
25,37,26,9.1
26,69,58,9.36
27,55,44,9.94
28,45,34,10.38
29,27,16,10.72
30,83,72,10.88
31,140,129,11.6
32,51,40,12.89
33,32,21,13.29
34,89,78,13.5
35,104,93,14.28
36,18,7,15.21
37,34,23,15.28
38,20,9,15.51
39,17,6,15.6
40,23,12,15.66
41,44,33,15.78
42,11,0,16.11
43,45,34,16.11
44,38,27,16.45
45,66,55,16.72
46,26,15,17.27
47,10,-1,17.42
48,17,6,17.41
49,39,28,17.47
50,26,15,17.75
51,27,16,17.9
52,75,64,18.06
53,56,45,18.7
54,40,29,19.15
55,19,8,19.44
56,32,21,19.52
57,61,50,19.73
58,57,46,20.23
59,33,22,20.69
60,19,8,20.91
61,23,12,20.99
62,59,48,21.11
63,50,39,21.59
64,57,46,21.98
65,19,8,22.44
66,32,21,22.52
67,51,40,22.73
68,59,48,23.13
69,29,18,23.61
70,15,4,23.79
71,84,73,23.83
72,51,40,24.56
73,87,76,24.96
74,38,27,25.72
75,36,25,25.99
76,29,18,26.24
77,59,48,26.42
78,23,12,26.9
79,50,39,27.02
80,53,42,27.41
81,42,31,27.83
82,96,85,28.14
83,50,39,28.99
84,39,28,29.38
85,35,24,29.66
86,62,51,29.9
87,106,95,30.41
88,168,157,31.36
89,31,20,32.93
90,44,33,33.13
91,41,30,33.46
92,73,62,33.76
93,51,40,34.38
94,51,40,34.78
95,170,159,35.18
96,93,82,36.77
97,121,110,37.59
98,178,167,38.69
99,128,117,40.36
100,58,47,41.53
101,53,42,41.64
102,62,51,41.98
103,167,156,42.49
104,52,41,44.04
105,62,51,42.52
106,28,17,43.04
107,50,39,43.01
108,100,89,43.26
109,43,32,43.88
110,34,23,43.96
111,15,4,44.06
112,41,30,43.95
113,21,10,43.54
114,76,65,43.66
115,18,7,44.17
116,89,78,42.86
117,38,27,43.38
118,74,63,43.48
119,71,60,43.7
120,49,38,43.5
121,52,41,43.73
122,29,18,43.4
123,67,56,43.35
124,60,49,43.55
125,93,82,43.77
126,106,95,44.33
127,28,17,44.7
128,89,78,44.43
129,70,59,44.87
130,54,43,45.3
131,64,53,45.01
132,129,118,44.25
133,107,96,45.03
134,103,92,45.78
135,97,86,45.92
136,93,82,45.85
137,128,117,46.6
138,88,77,47.54
139,77,66,48.22
140,130,119,48.82
141,26,15,49.89
142,84,73,49.71
143,85,74,50.44
144,43,32,50.84
145,115,104,50.89
146,31,20,51.38
147,161,150,51.43
148,177,166,52.94
149,77,66,54.54
150,122,111,54.92
151,171,160,55.88
152,132,121,57.32
153,138,127,57.89
154,194,183,58.71
155,110,99,60.25
156,131,120,61.16
157,173,162,62.15
158,117,106,63.27
159,89,78,63.87
160,96,85,64.43
161,117,106,65.2
162,71,60,66.14
163,113,102,66.26
164,146,135,66.89
165,32,21,67.78
166,49,38,67.91
167,100,89,68.08
168,30,19,68.57
169,134,123,68.28
170,115,104,69.33
171,53,42,70.33
172,95,84,70.02
173,99,88,70.46
174,140,129,70.58
175,144,133,71.6
176,69,58,72.68
177,95,84,73.08
178,69,58,73.44
179,75,64,73.9
180,146,135,74.15
181,86,75,75.08
182,102,91,75.52
183,71,60,75.58
184,97,86,75.79
185,119,108,76.37
186,168,157,77.21
187,103,92,78.27
188,86,75,78.24
189,83,72,77.42
190,104,93,77.94
191,36,25,78.54
192,48,37,78.49
193,123,112,78.24
194,115,104,78.96
195,28,17,79.6
196,105,94,78.18
197,91,80,78.3
198,55,44,78
199,67,56,76.77
200,34,23,76.16
201,234,223,75.92
202,81,70,77.73
203,95,84,77.92
204,63,52,77.2
205,86,75,77.31
206,102,91,77.55
207,103,92,78.29
208,136,125,78.82
209,107,96,79.18
210,93,82,79.82
211,96,85,80.41
212,98,87,81.22
213,88,77,81.79
214,153,142,82.46
215,159,148,83.23
216,107,96,84.64
217,121,110,84.82
218,100,89,85.65
219,82,71,85.91
220,131,120,86.02
221,118,107,86.84
222,43,32,87.5
223,92,81,87.64
224,119,108,87.89
225,37,26,88.48
226,200,189,87.92
227,69,58,88.86
228,96,85,89.27
229,86,75,89.34
230,51,40,89.5
231,117,106,89.47
232,170,159,90
233,57,46,90.41
234,98,87,89.91
235,116,105,89.86
236,161,150,90.05
237,84,73,90.73
238,148,137,90.29
239,90,79,90.89
240,34,23,91.02
241,79,68,90.06
242,105,94,90.59
243,117,106,90.8
244,112,101,91.12
245,170,159,91.81
246,137,126,92.36
247,140,129,93.42
248,114,103,93.21
249,147,136,92.58
250,90,79,93.28
251,57,46,92.96
252,103,92,91.82
253,55,44,91.53
254,100,89,90.7
255,137,126,89.76
256,86,75,90.03
257,149,138,89.58
258,81,70,89.34
259,112,101,88.98
260,118,107,89.21
261,75,64,89.43
262,109,98,89.01
263,69,58,89.39
264,155,144,88.95
265,352,341,89.04
266,98,87,92.24
267,199,188,92.73
268,143,132,93.72
269,205,194,94.85
270,154,143,95.56
271,156,145,95.95
272,141,130,96.98
273,78,67,97.44
274,363,352,97.23
275,104,93,99.46
276,144,133,99.06
277,58,47,99.81
278,133,122,99.44
279,148,137,100.08
280,49,38,100.81
281,133,122,99.84
282,128,117,100.31
283,140,129,100.57
284,134,123,101.26
285,147,136,101.63
286,138,127,101.91
287,131,120,101.61
288,158,147,101.89
289,77,66,102.61
290,126,115,102.55
291,108,97,102.77
292,123,112,103.49
293,158,147,104.24
294,25,14,104.59
295,149,138,103.69
296,186,175,104.9
297,23,12,105.71
298,59,48,105.03
299,51,40,105.07
300,219,208,104.91
301,77,66,106.76
302,164,153,105.19
303,128,117,106.02
304,159,148,106.35
305,102,91,107.31
306,66,55,107.47
307,91,80,107.11
308,139,128,106.99
309,22,11,107.02
310,240,229,106.17
311,175,164,107.64
312,77,66,108.43
313,70,59,108.22
314,46,35,108.04
315,44,33,106.97
316,80,69,105.82
317,72,61,105.55
318,48,37,105.06
319,67,56,104.54
320,105,94,104.39
321,85,74,104.13
322,155,144,103.8
323,63,52,104.92
324,55,44,104.63
325,39,28,103.99
326,162,151,104.01
327,59,48,103.63
328,90,79,103.53
329,64,53,103.47
330,57,46,103.25
331,142,131,103.31
332,182,171,103.56
333,108,97,103.68
334,95,84,104.19
335,82,71,104.16
336,74,63,103.82
337,90,79,102.95
338,249,238,103.01
339,63,52,104.02
340,112,101,103.75
341,89,78,104.53
342,74,63,104.63
343,160,149,104.32
344,164,153,104.75
345,88,77,105.27
346,92,81,104.45
347,72,61,104
348,61,50,103.32
349,70,59,102.79
350,38,27,102.02
351,52,41,101.5
352,95,84,101.45
353,77,66,101.37
354,82,71,101.59
355,111,100,101.41
356,75,64,101.15
357,133,122,101.04
358,84,73,100.88
359,80,69,100.91
360,120,109,100.59
361,82,71,100.61
362,107,96,100.68
363,135,124,100.66
364,36,25,101.32
365,114,103,100.13
366,57,46,97.75
367,57,46,97.34
368,116,105,95.92
369,90,79,95.65
370,116,105,94.5
371,70,59,94.12
372,121,110,93.26
373,77,66,93.06
374,52,41,93.05
375,70,59,89.94
376,45,34,89.6
377,152,141,88.61
378,30,19,89.55
379,73,62,88.52
380,79,68,87.77
381,106,95,88.07
382,107,96,87.8
383,46,35,87.59
384,83,72,86.65
385,75,64,86.14
386,98,87,85.42
387,107,96,85.02
388,79,68,84.78
389,90,79,83.99
390,132,121,84.12
391,107,96,84.18
392,74,63,84.17
393,91,80,83.68
394,126,115,83.01
395,26,15,84.02
396,106,95,82.79
397,68,57,81.99
398,101,90,82.44
399,110,99,82.86
400,105,94,83.45
401,73,62,82.31
402,112,101,82.27
403,108,97,81.75
404,82,71,81.55
405,121,110,80.78
406,116,105,80.97
407,75,64,81.47
408,70,59,81.31
409,120,109,80.62
410,132,121,81.6
411,73,62,80.52
412,87,76,79.5
413,59,48,79.6
414,88,77,79.49
415,144,133,79.91
416,83,72,80.91
417,161,150,80.94
418,99,88,81.83
419,169,158,82.34
420,172,161,83.36
421,99,88,84.03
422,127,116,84.17
423,110,99,83.89
424,100,89,84.36
425,89,78,84.81
426,108,97,85.31
427,121,110,84.77
428,96,85,85.39
429,70,59,85.45
430,108,97,85.51
431,50,39,86.02
432,83,72,85.1
433,109,98,84.11
434,74,63,84.12
435,64,53,83.91
436,51,40,83.73
437,115,104,83.5
438,163,152,83.75
439,129,118,82.89
440,100,89,83.55
441,59,48,83.43
442,125,114,83.13
443,45,34,83.64
444,153,142,82.49
445,97,86,82.38
446,111,100,82.47
447,157,146,82.66
448,65,54,83.51
449,76,65,83.55
450,29,18,83.61
451,97,86,83.52
452,76,65,83.97
453,121,110,83.78
454,136,125,84.22
455,93,82,84.76
456,75,64,84.58
457,58,47,84.58
458,133,122,83.83
459,72,61,84.32
460,111,100,84.24
461,109,98,84.15
462,138,127,84.42
463,83,72,84.73
464,123,112,84.21
465,95,84,85.08
466,55,44,84.89
467,68,57,84.87
468,93,82,84.98
469,84,73,84.75
470,124,113,84.69
471,126,115,84.77
472,110,99,85.33
473,22,11,85.22
474,139,128,84.67
475,56,45,85.54
476,77,66,85.4
477,125,114,85.72
478,50,39,85.45
479,64,53,85.65
480,150,139,85.56
481,116,105,86.27
482,123,112,86.37
483,57,46,86.53
484,102,91,86.64
485,117,106,86.83
486,85,74,87.25
487,138,127,87.12
488,84,73,87.43
489,66,55,87.48
490,81,70,87.24
491,68,57,86.73
492,98,87,86.34
493,123,112,86.58
494,99,88,86.9
495,28,17,86.63
496,115,104,86.65
497,102,91,86.74
498,125,114,87.08
499,76,65,87.32
500,164,153,86.98
501,106,95,87.57
502,88,77,87.9
503,118,107,87.66
504,76,65,87.76
505,140,129,87.7
506,27,16,87.89
507,124,113,87
508,30,19,87.49
509,48,37,87.09
510,89,78,86.37
511,83,72,85.94
512,71,60,86.04
513,116,105,85.88
514,128,117,86.45
515,50,39,86.85
516,126,115,85.91
517,52,41,86.34
518,80,69,85.25
519,90,79,85.06
520,84,73,84.27
521,126,115,83.39
522,87,76,83.66
523,56,45,83.26
524,126,115,82.72
525,61,50,82.98
526,136,125,82.7
527,127,116,82.98
528,164,153,83.04
529,61,50,83.72
530,103,92,83.63
531,114,103,83.58
532,150,139,84.22
533,79,68,84.89
534,69,58,84.59
535,74,63,84.54
536,99,88,84.64
537,134,123,85.12
538,131,120,85.31
539,128,117,84.99
540,42,31,84.98
541,73,62,84.4
542,148,137,84.54
543,80,69,84.77
544,113,102,85.12
545,56,45,84.72
546,132,121,84.31
547,99,88,84.52
548,83,72,83.94
549,31,20,84.12
550,118,107,83.67
551,141,130,84.56
552,123,112,85
553,95,84,85.47
554,86,75,85.21
555,110,99,84.71
556,160,149,84.88
557,39,28,85.73
558,118,107,85.54
559,150,139,85.39
560,63,52,86.17
561,142,131,85.69
562,114,103,86.02
563,71,60,85.78
564,77,66,85.66
565,85,74,85.2
566,109,98,85.1
567,83,72,85.64
568,86,75,85.79
569,66,55,85.72
570,77,66,85.54
571,129,118,85.07
572,160,149,85.1
573,129,118,85.6
574,69,58,86.67
575,109,98,85.97
576,88,77,86.5
577,60,49,86.61
578,81,70,85.96
579,110,99,86.27
580,111,100,86.73
581,24,13,86.34
582,85,74,85.42
583,68,57,85.04
584,89,78,85.15
585,77,66,85.02
586,35,24,84.62
587,63,52,84.12
588,95,84,83.37
589,50,39,83.48
590,123,112,83.32
591,122,111,83.74
592,84,73,84.28
593,112,101,84.14
594,98,87,84.03
595,96,85,84.02
596,76,65,84.7
597,115,104,84.31
598,117,106,84.44
599,158,147,84.36
600,84,73,85.18
601,71,60,84.38
602,88,77,84.03
603,85,74,84.03
604,73,62,83.7
605,91,80,83.67
606,68,57,83.18
607,83,72,83.59
608,104,93,83.18
609,66,55,83.92
610,121,110,84.1
611,139,128,84.42
612,71,60,84.98
613,84,73,84.98
614,75,64,84.66
615,69,58,84.13
616,46,35,84.32
617,141,130,83.52
618,114,103,84.41
619,133,122,84.75
620,126,115,85.18
621,111,100,85.6
622,197,186,85.45
623,72,61,86.55
624,137,126,86.71
625,81,70,86.82
626,80,69,87.02
627,123,112,86.46
628,52,41,86.42
629,120,109,85.3
630,153,142,85.89
631,107,96,86.39
632,152,141,86.32
633,80,69,86.34
634,137,126,86.35
635,70,59,87.03
636,88,77,86.99
637,157,146,86.88
638,169,158,87.11
639,148,137,87.49
640,79,68,87.69
641,32,21,88.06
642,39,28,87.65
643,66,55,86.56
644,92,81,86.42
645,43,32,86.21
646,107,96,86.08
647,80,69,85.83
648,92,81,85.64
649,125,114,85.73
650,121,110,86.67
651,152,141,86.7
652,47,36,86.81
653,108,97,86.05
654,100,89,86.18
655,49,38,86.32
656,144,133,85.71
657,64,53,85.55
658,65,54,85.8
659,90,79,85.27
660,70,59,84.67
661,92,81,84.74
662,71,60,84.24
663,124,113,83.81
664,116,105,84.34
665,64,53,84.73
666,64,53,84.52
667,158,147,84.07
668,88,77,84.82
669,103,92,84.84
670,154,143,85.21
671,108,97,85.98
672,47,36,85.77
673,73,62,84.64
674,169,158,84.08
675,91,80,85.08
676,82,71,84.9
677,73,62,84.84
678,107,96,84.97
679,140,129,85.23
680,89,78,85.53
681,52,41,85.31
682,94,83,85.59
683,127,116,85.68
684,49,38,86.27
685,99,88,85.87
686,92,81,86.09
687,54,43,86.66
688,64,53,86.57
689,154,143,86.26
690,90,79,87.3
691,87,76,86.97
692,131,120,86.62
693,79,68,87.09
694,97,86,86.76
695,137,126,86.75
696,146,135,87.16
697,40,29,87.86
698,116,105,87.11
699,45,34,87.1
700,68,57,85.97
701,157,146,85.81
702,141,130,86.67
703,23,12,87.2
704,26,15,86.58
705,119,108,86.11
706,136,125,86.39
707,130,119,87.07
708,149,138,87.54
709,107,96,87.99
710,65,54,88.4
711,62,51,87.84
712,133,122,87.07
713,132,121,87.69
714,145,134,88.17
715,81,70,88.87
716,102,91,88.99
717,60,49,89.55
718,91,80,88.74
719,59,48,88.51
720,152,141,87.77
721,88,77,88.03
722,137,126,87.8
723,161,150,87.2
724,91,80,88.09
725,144,133,87.63
726,125,114,88.26
727,120,109,88.71
728,85,74,88.68
729,126,115,89.01
730,63,52,89.07
731,119,108,88.17
732,90,79,88.29
733,63,52,87.67
734,153,142,87.5
735,119,108,87.66
736,43,32,88.15
737,156,145,87.7
738,56,45,87.69
739,84,73,86.56
740,92,81,85.92
741,100,89,86.05
742,58,47,86.73
743,74,63,86.92
744,47,36,87
745,175,164,86.55
746,74,63,87.87
747,99,88,87.54
748,71,60,87.73
749,81,70,87.52
750,83,72,87.08
751,96,85,86.7
752,53,42,86.14
753,27,16,86.2
754,64,53,85.39
755,158,147,85.03
756,151,140,86.12
757,73,62,86.19
758,63,52,86.28
759,97,86,86.26
760,61,50,86.33
761,21,10,86.24
762,87,76,85.53
763,80,69,85.69
764,138,127,85.25
765,87,76,85.47
766,53,42,85.7
767,75,64,85.59
768,156,145,84.76
769,69,58,85.44
770,123,112,85.1
771,145,134,84.79
772,93,82,85.16
773,112,101,85.62
774,67,56,86.01
775,62,51,84.99
776,91,80,84.7
777,107,96,84.79
778,120,109,85.13
779,75,64,85.26
780,88,77,84.61
781,48,37,84.6
782,63,52,84.56
783,58,47,84.25
784,20,9,83.56
785,83,72,83.27
786,153,142,83.11
787,30,19,83.72
788,139,128,83.48
789,70,59,84.23
790,92,81,83.39
791,124,113,83.41
792,67,56,83.78
793,87,76,83.14
794,67,56,83.22
795,84,73,82.92
796,113,102,82.39
797,91,80,82.06
798,57,46,82.57
799,46,35,81.98
800,116,105,81.99
801,122,111,82.47
802,92,81,82.12
803,92,81,81.63
804,79,68,82.32
805,94,83,82.85
806,41,30,82.6
807,128,117,81.65
808,69,58,81.63
809,129,118,80.83
810,67,56,81.05
811,111,100,81.07
812,57,46,81.56
813,78,67,80.8
814,82,71,80.26
815,77,66,79.63
816,148,137,79.59
817,78,67,80.05
818,62,51,80.23
819,149,138,79.94
820,120,109,80.84
821,150,139,80.52
822,140,129,81.14
823,125,114,81.17
824,48,37,80.81
825,186,175,80.38
826,80,69,80.8
827,131,120,80.35
828,132,121,80.46
829,76,65,80.93
830,146,135,80.43
831,120,109,81.26
832,64,53,81.27
833,120,109,81.01
834,126,115,81.58
835,102,91,81.31
836,79,68,81.14
837,39,28,81.5
838,165,154,80.33
839,158,147,81.42
840,62,51,82.16
841,18,7,81.86
842,104,93,81.04
843,65,54,81.5
844,109,98,81.41
845,63,52,82.03
846,68,57,80.91
847,59,48,80.85
848,119,108,80.45
849,19,8,80.93
850,65,54,80.31
851,63,52,80.13
852,14,3,79.8
853,63,52,79.41
854,77,66,79.77
855,100,89,79.9
856,130,119,79.32
857,106,95,79.11
858,77,66,79.44
859,81,70,79.58
860,83,72,79.42
861,85,74,79.64
862,71,60,80.28
863,86,75,80.12
864,57,46,80.18
865,76,65,79.37
866,53,42,79.26
867,110,99,79.26
868,59,48,79.61
869,129,118,78.64
870,58,47,79.24
871,81,70,78.59
872,72,61,77.95
873,91,80,77.74
874,63,52,77.53
875,92,81,77.49
876,70,59,77.79
877,74,63,77.58
878,62,51,77.25
879,34,23,76.67
880,65,54,76.26
881,57,46,76.03
882,100,89,76.12
883,134,123,76.49
884,73,62,77.25
885,74,63,77.78
886,118,107,77.69
887,52,41,77.34
888,92,81,77.56
889,33,22,77.09
890,79,68,76.72
891,62,51,76.59
892,64,53,75.97
893,76,65,75.94
894,64,53,75.83
895,81,70,75.8
896,134,123,75.77
897,120,109,75.98
898,63,52,76.27
899,74,63,76.33
900,80,69,76.61
901,26,15,76.25
902,43,32,75.29
903,121,110,74.8
904,167,156,75.09
905,106,95,75.97
906,68,57,76.09
907,84,73,76.36
908,119,108,75.92
909,77,66,76.42
910,71,60,75.9
911,84,73,75.94
912,67,56,75.67
913,58,47,75.77
914,112,101,75.57
915,61,50,75.87
916,109,98,75.71
917,70,59,75.32
918,121,110,75.24
919,60,49,75.83
920,26,15,74.94
921,82,71,74
922,68,57,73.32
923,123,112,72.6
924,116,105,72.58
925,107,96,73.26
926,104,93,72.47
927,70,59,72.71
928,104,93,72.1
929,64,53,71.82
930,80,69,71.7
931,58,47,71.04
932,81,70,70.42
933,84,73,70.59
934,85,74,70.23
935,106,95,69.82
936,66,55,69.86
937,132,121,69.73
938,75,64,70.66
939,69,58,69.76
940,67,56,68.87
941,138,127,68.92
942,115,104,70.12
943,82,71,70.23
944,52,41,70.4
945,55,44,69.83
946,57,46,69.75
947,79,68,69.64
948,77,66,69.84
949,174,163,69.42
950,73,62,70.97
951,58,47,71.05
952,89,78,71
953,96,85,71.75
954,122,111,72.08
955,87,76,72.53
956,86,75,72.4
957,132,121,71.96
958,57,46,72.22
959,107,96,72.02
960,109,98,72.28
961,87,76,72.54
962,58,47,72.56
963,72,61,72.43
964,97,86,72.29
965,69,58,72.69
966,27,16,72.62
967,76,65,72.36
968,143,132,72.02
969,61,50,72.86
970,71,60,72.18
971,110,99,72.31
972,109,98,72.6
973,183,172,72.97
974,122,111,73.89
975,81,70,74.48
976,78,67,74.37
977,63,52,74.45
978,90,79,74.34
979,64,53,74.62
980,73,62,74.92
981,73,62,75
982,66,55,75.16
983,61,50,74.82
984,105,94,74.09
985,93,82,74.41
986,102,91,74.6
987,40,29,74.44
988,84,73,74.32
989,127,116,74.24
990,29,18,75.18
991,123,112,74.68
992,71,60,75.29
993,67,56,75.36
994,40,29,75.27
995,187,176,75.03
996,136,125,76.09
997,62,51,76.11
998,61,50,75.53
999,69,58,75.51
